i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
124,842,270900,56319495.38,56319495.38,441283.724,1372.233,0,9685843.397,2369220.182,8346.923,0,560.53,129739.618
124,842,271000,9685843.397,56319495.38,441283.724,1372.233,0,9685843.397,2369220.182,8346.923,0,560.53,129739.618
124,842,847192,8346.923,56319495.38,441283.724,1372.233,0,9685843.397,2369220.182,8346.923,0,560.53,129739.618
124,842,847193,560.53,56319495.38,441283.724,1372.233,0,9685843.397,2369220.182,8346.923,0,560.53,129739.618
124,842,847330,0,56319495.38,441283.724,1372.233,0,9685843.397,2369220.182,8346.923,0,560.53,129739.618
124,842,854211,1372.233,56319495.38,441283.724,1372.233,0,9685843.397,2369220.182,8346.923,0,560.53,129739.618
124,842,870322,129739.618,56319495.38,441283.724,1372.233,0,9685843.397,2369220.182,8346.923,0,560.53,129739.618
124,842,870323,441283.724,56319495.38,441283.724,1372.233,0,9685843.397,2369220.182,8346.923,0,560.53,129739.618
124,842,870324,2369220.182,56319495.38,441283.724,1372.233,0,9685843.397,2369220.182,8346.923,0,560.53,129739.618
124,842,870899,0,56319495.38,441283.724,1372.233,0,9685843.397,2369220.182,8346.923,0,560.53,129739.618
392,842,270900,46.628,46.628,1229324.404,11121.684,40053.578,8802.683,223623.989,86029.125,186335.375,14739.769,272221.088
392,842,271000,8802.683,46.628,1229324.404,11121.684,40053.578,8802.683,223623.989,86029.125,186335.375,14739.769,272221.088
392,842,847192,86029.125,46.628,1229324.404,11121.684,40053.578,8802.683,223623.989,86029.125,186335.375,14739.769,272221.088
392,842,847193,14739.769,46.628,1229324.404,11121.684,40053.578,8802.683,223623.989,86029.125,186335.375,14739.769,272221.088
392,842,847330,40053.578,46.628,1229324.404,11121.684,40053.578,8802.683,223623.989,86029.125,186335.375,14739.769,272221.088
392,842,854211,11121.684,46.628,1229324.404,11121.684,40053.578,8802.683,223623.989,86029.125,186335.375,14739.769,272221.088
392,842,870322,272221.088,46.628,1229324.404,11121.684,40053.578,8802.683,223623.989,86029.125,186335.375,14739.769,272221.088
392,842,870323,1229324.404,46.628,1229324.404,11121.684,40053.578,8802.683,223623.989,86029.125,186335.375,14739.769,272221.088
392,842,870324,223623.989,46.628,1229324.404,11121.684,40053.578,8802.683,223623.989,86029.125,186335.375,14739.769,272221.088
392,842,870899,186335.375,46.628,1229324.404,11121.684,40053.578,8802.683,223623.989,86029.125,186335.375,14739.769,272221.088
842,124,270900,37966.414,37966.414,345577.117,3289.682,0,2093800.499,445867.792,12896.815,243175.664,2662.746,3247.857
842,124,271000,2093800.499,37966.414,345577.117,3289.682,0,2093800.499,445867.792,12896.815,243175.664,2662.746,3247.857
842,124,847192,12896.815,37966.414,345577.117,3289.682,0,2093800.499,445867.792,12896.815,243175.664,2662.746,3247.857
842,124,847193,2662.746,37966.414,345577.117,3289.682,0,2093800.499,445867.792,12896.815,243175.664,2662.746,3247.857
842,124,847330,0,37966.414,345577.117,3289.682,0,2093800.499,445867.792,12896.815,243175.664,2662.746,3247.857
842,124,854211,3289.682,37966.414,345577.117,3289.682,0,2093800.499,445867.792,12896.815,243175.664,2662.746,3247.857
842,124,870322,3247.857,37966.414,345577.117,3289.682,0,2093800.499,445867.792,12896.815,243175.664,2662.746,3247.857
842,124,870323,345577.117,37966.414,345577.117,3289.682,0,2093800.499,445867.792,12896.815,243175.664,2662.746,3247.857
842,124,870324,445867.792,37966.414,345577.117,3289.682,0,2093800.499,445867.792,12896.815,243175.664,2662.746,3247.857
842,124,870899,243175.664,37966.414,345577.117,3289.682,0,2093800.499,445867.792,12896.815,243175.664,2662.746,3247.857
842,392,270900,1.75,1.75,154354.764,8096.067,5278.085,1132796.419,76709.857,3561.625,21328.803,3143.562,598.389
842,392,271000,1132796.419,1.75,154354.764,8096.067,5278.085,1132796.419,76709.857,3561.625,21328.803,3143.562,598.389
842,392,847192,3561.625,1.75,154354.764,8096.067,5278.085,1132796.419,76709.857,3561.625,21328.803,3143.562,598.389
842,392,847193,3143.562,1.75,154354.764,8096.067,5278.085,1132796.419,76709.857,3561.625,21328.803,3143.562,598.389
842,392,847330,5278.085,1.75,154354.764,8096.067,5278.085,1132796.419,76709.857,3561.625,21328.803,3143.562,598.389
842,392,854211,8096.067,1.75,154354.764,8096.067,5278.085,1132796.419,76709.857,3561.625,21328.803,3143.562,598.389
842,392,870322,598.389,1.75,154354.764,8096.067,5278.085,1132796.419,76709.857,3561.625,21328.803,3143.562,598.389
842,392,870323,154354.764,1.75,154354.764,8096.067,5278.085,1132796.419,76709.857,3561.625,21328.803,3143.562,598.389
842,392,870324,76709.857,1.75,154354.764,8096.067,5278.085,1132796.419,76709.857,3561.625,21328.803,3143.562,598.389
842,392,870899,21328.803,1.75,154354.764,8096.067,5278.085,1132796.419,76709.857,3561.625,21328.803,3143.562,598.389
484,842,270900,51115487.14,51115487.14,446378.38,171.601,8504.003,2020998.663,64694.657,37277.788,64112.644,193.359,150331.907
484,842,271000,2020998.663,51115487.14,446378.38,171.601,8504.003,2020998.663,64694.657,37277.788,64112.644,193.359,150331.907
484,842,847192,37277.788,51115487.14,446378.38,171.601,8504.003,2020998.663,64694.657,37277.788,64112.644,193.359,150331.907
484,842,847193,193.359,51115487.14,446378.38,171.601,8504.003,2020998.663,64694.657,37277.788,64112.644,193.359,150331.907
484,842,847330,8504.003,51115487.14,446378.38,171.601,8504.003,2020998.663,64694.657,37277.788,64112.644,193.359,150331.907
484,842,854211,171.601,51115487.14,446378.38,171.601,8504.003,2020998.663,64694.657,37277.788,64112.644,193.359,150331.907
484,842,870322,150331.907,51115487.14,446378.38,171.601,8504.003,2020998.663,64694.657,37277.788,64112.644,193.359,150331.907
484,842,870323,446378.38,51115487.14,446378.38,171.601,8504.003,2020998.663,64694.657,37277.788,64112.644,193.359,150331.907
484,842,870324,64694.657,51115487.14,446378.38,171.601,8504.003,2020998.663,64694.657,37277.788,64112.644,193.359,150331.907
484,842,870899,64112.644,51115487.14,446378.38,171.601,8504.003,2020998.663,64694.657,37277.788,64112.644,193.359,150331.907
842,484,270900,87.785,87.785,15013.497,3110.75,19445.98,4151188.276,25359.04,6018.229,200652.672,548.647,83.141
842,484,271000,4151188.276,87.785,15013.497,3110.75,19445.98,4151188.276,25359.04,6018.229,200652.672,548.647,83.141
