i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
124,842,270900,1896215.142,1896215.142,2825.339,16828812.7,29498.003,702167.151,1683.292,7367.277,962.532,65.49,796.031
124,842,271000,16828812.7,1896215.142,2825.339,16828812.7,29498.003,702167.151,1683.292,7367.277,962.532,65.49,796.031
124,842,847192,962.532,1896215.142,2825.339,16828812.7,29498.003,702167.151,1683.292,7367.277,962.532,65.49,796.031
124,842,847193,796.031,1896215.142,2825.339,16828812.7,29498.003,702167.151,1683.292,7367.277,962.532,65.49,796.031
124,842,847330,29498.003,1896215.142,2825.339,16828812.7,29498.003,702167.151,1683.292,7367.277,962.532,65.49,796.031
124,842,852520,7367.277,1896215.142,2825.339,16828812.7,29498.003,702167.151,1683.292,7367.277,962.532,65.49,796.031
124,842,854211,2825.339,1896215.142,2825.339,16828812.7,29498.003,702167.151,1683.292,7367.277,962.532,65.49,796.031
124,842,870323,702167.151,1896215.142,2825.339,16828812.7,29498.003,702167.151,1683.292,7367.277,962.532,65.49,796.031
124,842,870324,1683.292,1896215.142,2825.339,16828812.7,29498.003,702167.151,1683.292,7367.277,962.532,65.49,796.031
124,842,880240,65.49,1896215.142,2825.339,16828812.7,29498.003,702167.151,1683.292,7367.277,962.532,65.49,796.031
842,124,270900,793440.124,793440.124,5075.056,3407308.228,29872.949,450518.972,320276.524,4193.381,31637.51,299.424,4264.714
842,124,271000,3407308.228,793440.124,5075.056,3407308.228,29872.949,450518.972,320276.524,4193.381,31637.51,299.424,4264.714
842,124,847192,31637.51,793440.124,5075.056,3407308.228,29872.949,450518.972,320276.524,4193.381,31637.51,299.424,4264.714
842,124,847193,4264.714,793440.124,5075.056,3407308.228,29872.949,450518.972,320276.524,4193.381,31637.51,299.424,4264.714
842,124,847330,29872.949,793440.124,5075.056,3407308.228,29872.949,450518.972,320276.524,4193.381,31637.51,299.424,4264.714
842,124,852520,4193.381,793440.124,5075.056,3407308.228,29872.949,450518.972,320276.524,4193.381,31637.51,299.424,4264.714
842,124,854211,5075.056,793440.124,5075.056,3407308.228,29872.949,450518.972,320276.524,4193.381,31637.51,299.424,4264.714
842,124,870323,450518.972,793440.124,5075.056,3407308.228,29872.949,450518.972,320276.524,4193.381,31637.51,299.424,4264.714
842,124,870324,320276.524,793440.124,5075.056,3407308.228,29872.949,450518.972,320276.524,4193.381,31637.51,299.424,4264.714
842,124,880240,299.424,793440.124,5075.056,3407308.228,29872.949,450518.972,320276.524,4193.381,31637.51,299.424,4264.714
484,842,270900,62056648.43,62056648.43,1795.086,3535517.46,34290.741,741633.498,611970.475,9750.942,105835.443,63.254,4763.047
484,842,271000,3535517.46,62056648.43,1795.086,3535517.46,34290.741,741633.498,611970.475,9750.942,105835.443,63.254,4763.047
484,842,847192,105835.443,62056648.43,1795.086,3535517.46,34290.741,741633.498,611970.475,9750.942,105835.443,63.254,4763.047
484,842,847193,4763.047,62056648.43,1795.086,3535517.46,34290.741,741633.498,611970.475,9750.942,105835.443,63.254,4763.047
484,842,847330,34290.741,62056648.43,1795.086,3535517.46,34290.741,741633.498,611970.475,9750.942,105835.443,63.254,4763.047
484,842,852520,9750.942,62056648.43,1795.086,3535517.46,34290.741,741633.498,611970.475,9750.942,105835.443,63.254,4763.047
484,842,854211,1795.086,62056648.43,1795.086,3535517.46,34290.741,741633.498,611970.475,9750.942,105835.443,63.254,4763.047
484,842,870323,741633.498,62056648.43,1795.086,3535517.46,34290.741,741633.498,611970.475,9750.942,105835.443,63.254,4763.047
484,842,870324,611970.475,62056648.43,1795.086,3535517.46,34290.741,741633.498,611970.475,9750.942,105835.443,63.254,4763.047
484,842,880240,63.254,62056648.43,1795.086,3535517.46,34290.741,741633.498,611970.475,9750.942,105835.443,63.254,4763.047
392,842,271000,715050.621,0,4735.393,715050.621,57760.981,2613759.486,546635.058,4584.436,92627.337,0,12701.617
392,842,847192,92627.337,0,4735.393,715050.621,57760.981,2613759.486,546635.058,4584.436,92627.337,0,12701.617
392,842,847193,12701.617,0,4735.393,715050.621,57760.981,2613759.486,546635.058,4584.436,92627.337,0,12701.617
392,842,847330,57760.981,0,4735.393,715050.621,57760.981,2613759.486,546635.058,4584.436,92627.337,0,12701.617
392,842,852520,4584.436,0,4735.393,715050.621,57760.981,2613759.486,546635.058,4584.436,92627.337,0,12701.617
392,842,854211,4735.393,0,4735.393,715050.621,57760.981,2613759.486,546635.058,4584.436,92627.337,0,12701.617
392,842,870323,2613759.486,0,4735.393,715050.621,57760.981,2613759.486,546635.058,4584.436,92627.337,0,12701.617
392,842,870324,546635.058,0,4735.393,715050.621,57760.981,2613759.486,546635.058,4584.436,92627.337,0,12701.617
842,484,270900,3746.129,3746.129,3449.796,14028958.89,19003.151,138188.345,99609.603,8292.172,14817.846,125.37,5093.655
842,484,271000,14028958.89,3746.129,3449.796,14028958.89,19003.151,138188.345,99609.603,8292.172,14817.846,125.37,5093.655
842,484,847192,14817.846,3746.129,3449.796,14028958.89,19003.151,138188.345,99609.603,8292.172,14817.846,125.37,5093.655
842,484,847193,5093.655,3746.129,3449.796,14028958.89,19003.151,138188.345,99609.603,8292.172,14817.846,125.37,5093.655
842,484,847330,19003.151,3746.129,3449.796,14028958.89,19003.151,138188.345,99609.603,8292.172,14817.846,125.37,5093.655
842,484,852520,8292.172,3746.129,3449.796,14028958.89,19003.151,138188.345,99609.603,8292.172,14817.846,125.37,5093.655
842,484,854211,3449.796,3746.129,3449.796,14028958.89,19003.151,138188.345,99609.603,8292.172,14817.846,125.37,5093.655
842,484,870323,138188.345,3746.129,3449.796,14028958.89,19003.151,138188.345,99609.603,8292.172,14817.846,125.37,5093.655
842,484,870324,99609.603,3746.129,3449.796,14028958.89,19003.151,138188.345,99609.603,8292.172,14817.846,125.37,5093.655
842,484,880240,125.37,3746.129,3449.796,14028958.89,19003.151,138188.345,99609.603,8292.172,14817.846,125.37,5093.655
156,842,270900,1760039.405,1760039.405,106.955,485218.435,80773.442,9.503,1.96,1476.816,83395.113,92.85,5800.42
156,842,271000,485218.435,1760039.405,106.955,485218.435,80773.442,9.503,1.96,1476.816,83395.113,92.85,5800.42
156,842,847192,83395.113,1760039.405,106.955,485218.435,80773.442,9.503,1.96,1476.816,83395.113,92.85,5800.42
156,842,847193,5800.42,1760039.405,106.955,485218.435,80773.442,9.503,1.96,1476.816,83395.113,92.85,5800.42
156,842,847330,80773.442,1760039.405,106.955,485218.435,80773.442,9.503,1.96,1476.816,83395.113,92.85,5800.42
156,842,852520,1476.816,1760039.405,106.955,485218.435,80773.442,9.503,1.96,1476.816,83395.113,92.85,5800.42
156,842,854211,106.955,1760039.405,106.955,485218.435,80773.442,9.503,1.96,1476.816,83395.113,92.85,5800.42
156,842,870323,9.503,1760039.405,106.955,485218.435,80773.442,9.503,1.96,1476.816,83395.113,92.85,5800.42
156,842,870324,1.96,1760039.405,106.955,485218.435,80773.442,9.503,1.96,1476.816,83395.113,92.85,5800.42
