i,j,f0
2,3,0.00 
1,6,0.00 
1,3,12785.00
1,4,0.00 
3,2,185744.00
3,1,0.00 
3,6,0.00 
3,4,154853.00
4,2,0.00 
4,3,0.00 
5,6,1417.00
6,1,0.00 
6,3,0.00 
6,4,90532.00
