i,j,f0
2,3,0
1,6,0
1,3,"19,819.00"
1,4,0
3,2,"218,438.00"
3,1,0
3,6,0
3,4,"291,064.00"
4,2,0
4,3,0
5,6,878.00
6,1,0
6,3,0
6,4,"76,659.00"
