i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
124,842,270900,57933870.42,57933870.42,752006.252,0,1008.073,12650620.45,3060231.49,586.494,866.582,12193.478,3110.138
124,842,271000,12650620.45,57933870.42,752006.252,0,1008.073,12650620.45,3060231.49,586.494,866.582,12193.478,3110.138
124,842,300490,12193.478,57933870.42,752006.252,0,1008.073,12650620.45,3060231.49,586.494,866.582,12193.478,3110.138
124,842,847192,3110.138,57933870.42,752006.252,0,1008.073,12650620.45,3060231.49,586.494,866.582,12193.478,3110.138
124,842,847193,866.582,57933870.42,752006.252,0,1008.073,12650620.45,3060231.49,586.494,866.582,12193.478,3110.138
124,842,847330,0,57933870.42,752006.252,0,1008.073,12650620.45,3060231.49,586.494,866.582,12193.478,3110.138
124,842,854211,1008.073,57933870.42,752006.252,0,1008.073,12650620.45,3060231.49,586.494,866.582,12193.478,3110.138
124,842,870323,752006.252,57933870.42,752006.252,0,1008.073,12650620.45,3060231.49,586.494,866.582,12193.478,3110.138
124,842,870324,3060231.49,57933870.42,752006.252,0,1008.073,12650620.45,3060231.49,586.494,866.582,12193.478,3110.138
124,842,880240,586.494,57933870.42,752006.252,0,1008.073,12650620.45,3060231.49,586.494,866.582,12193.478,3110.138
842,124,270900,2176488.273,2176488.273,441051.165,0,2565.425,17744002.31,582156.106,729.283,2046.029,33416.574,15772.311
842,124,271000,17744002.31,2176488.273,441051.165,0,2565.425,17744002.31,582156.106,729.283,2046.029,33416.574,15772.311
842,124,300490,33416.574,2176488.273,441051.165,0,2565.425,17744002.31,582156.106,729.283,2046.029,33416.574,15772.311
842,124,847192,15772.311,2176488.273,441051.165,0,2565.425,17744002.31,582156.106,729.283,2046.029,33416.574,15772.311
842,124,847193,2046.029,2176488.273,441051.165,0,2565.425,17744002.31,582156.106,729.283,2046.029,33416.574,15772.311
842,124,847330,0,2176488.273,441051.165,0,2565.425,17744002.31,582156.106,729.283,2046.029,33416.574,15772.311
842,124,854211,2565.425,2176488.273,441051.165,0,2565.425,17744002.31,582156.106,729.283,2046.029,33416.574,15772.311
842,124,870323,441051.165,2176488.273,441051.165,0,2565.425,17744002.31,582156.106,729.283,2046.029,33416.574,15772.311
842,124,870324,582156.106,2176488.273,441051.165,0,2565.425,17744002.31,582156.106,729.283,2046.029,33416.574,15772.311
842,124,880240,729.283,2176488.273,441051.165,0,2565.425,17744002.31,582156.106,729.283,2046.029,33416.574,15772.311
392,842,270900,0,0,1730676.616,57399.832,13380.758,724840.015,616517.258,0,23768.252,891.867,35984.468
392,842,271000,724840.015,0,1730676.616,57399.832,13380.758,724840.015,616517.258,0,23768.252,891.867,35984.468
392,842,300490,891.867,0,1730676.616,57399.832,13380.758,724840.015,616517.258,0,23768.252,891.867,35984.468
392,842,847192,35984.468,0,1730676.616,57399.832,13380.758,724840.015,616517.258,0,23768.252,891.867,35984.468
392,842,847193,23768.252,0,1730676.616,57399.832,13380.758,724840.015,616517.258,0,23768.252,891.867,35984.468
392,842,847330,57399.832,0,1730676.616,57399.832,13380.758,724840.015,616517.258,0,23768.252,891.867,35984.468
392,842,854211,13380.758,0,1730676.616,57399.832,13380.758,724840.015,616517.258,0,23768.252,891.867,35984.468
392,842,870323,1730676.616,0,1730676.616,57399.832,13380.758,724840.015,616517.258,0,23768.252,891.867,35984.468
392,842,870324,616517.258,0,1730676.616,57399.832,13380.758,724840.015,616517.258,0,23768.252,891.867,35984.468
484,842,270900,59681016.47,59681016.47,570208.128,73764.936,14597.541,5145194.534,299012.128,495.687,6619.703,9885.621,390900.864
484,842,271000,5145194.534,59681016.47,570208.128,73764.936,14597.541,5145194.534,299012.128,495.687,6619.703,9885.621,390900.864
484,842,300490,9885.621,59681016.47,570208.128,73764.936,14597.541,5145194.534,299012.128,495.687,6619.703,9885.621,390900.864
484,842,847192,390900.864,59681016.47,570208.128,73764.936,14597.541,5145194.534,299012.128,495.687,6619.703,9885.621,390900.864
484,842,847193,6619.703,59681016.47,570208.128,73764.936,14597.541,5145194.534,299012.128,495.687,6619.703,9885.621,390900.864
484,842,847330,73764.936,59681016.47,570208.128,73764.936,14597.541,5145194.534,299012.128,495.687,6619.703,9885.621,390900.864
484,842,854211,14597.541,59681016.47,570208.128,73764.936,14597.541,5145194.534,299012.128,495.687,6619.703,9885.621,390900.864
484,842,870323,570208.128,59681016.47,570208.128,73764.936,14597.541,5145194.534,299012.128,495.687,6619.703,9885.621,390900.864
484,842,870324,299012.128,59681016.47,570208.128,73764.936,14597.541,5145194.534,299012.128,495.687,6619.703,9885.621,390900.864
484,842,880240,495.687,59681016.47,570208.128,73764.936,14597.541,5145194.534,299012.128,495.687,6619.703,9885.621,390900.864
842,484,270900,1378.812,1378.812,148919.632,179962.256,172278.736,10034840.64,164917.936,76.949,3782.062,4818.245,127398.44
842,484,271000,10034840.64,1378.812,148919.632,179962.256,172278.736,10034840.64,164917.936,76.949,3782.062,4818.245,127398.44
842,484,300490,4818.245,1378.812,148919.632,179962.256,172278.736,10034840.64,164917.936,76.949,3782.062,4818.245,127398.44
842,484,847192,127398.44,1378.812,148919.632,179962.256,172278.736,10034840.64,164917.936,76.949,3782.062,4818.245,127398.44
842,484,847193,3782.062,1378.812,148919.632,179962.256,172278.736,10034840.64,164917.936,76.949,3782.062,4818.245,127398.44
842,484,847330,179962.256,1378.812,148919.632,179962.256,172278.736,10034840.64,164917.936,76.949,3782.062,4818.245,127398.44
842,484,854211,172278.736,1378.812,148919.632,179962.256,172278.736,10034840.64,164917.936,76.949,3782.062,4818.245,127398.44
842,484,870323,148919.632,1378.812,148919.632,179962.256,172278.736,10034840.64,164917.936,76.949,3782.062,4818.245,127398.44
842,484,870324,164917.936,1378.812,148919.632,179962.256,172278.736,10034840.64,164917.936,76.949,3782.062,4818.245,127398.44
842,484,880240,76.949,1378.812,148919.632,179962.256,172278.736,10034840.64,164917.936,76.949,3782.062,4818.245,127398.44
842,392,270900,1444926.768,1444926.768,41790.227,4946.66,11816.786,550553.312,35617.536,3439.75,929.568,2149.122,1529.25
842,392,271000,550553.312,1444926.768,41790.227,4946.66,11816.786,550553.312,35617.536,3439.75,929.568,2149.122,1529.25
842,392,300490,2149.122,1444926.768,41790.227,4946.66,11816.786,550553.312,35617.536,3439.75,929.568,2149.122,1529.25
842,392,847192,1529.25,1444926.768,41790.227,4946.66,11816.786,550553.312,35617.536,3439.75,929.568,2149.122,1529.25
842,392,847193,929.568,1444926.768,41790.227,4946.66,11816.786,550553.312,35617.536,3439.75,929.568,2149.122,1529.25
842,392,847330,4946.66,1444926.768,41790.227,4946.66,11816.786,550553.312,35617.536,3439.75,929.568,2149.122,1529.25
842,392,854211,11816.786,1444926.768,41790.227,4946.66,11816.786,550553.312,35617.536,3439.75,929.568,2149.122,1529.25
842,392,870323,41790.227,1444926.768,41790.227,4946.66,11816.786,550553.312,35617.536,3439.75,929.568,2149.122,1529.25
842,392,870324,35617.536,1444926.768,41790.227,4946.66,11816.786,550553.312,35617.536,3439.75,929.568,2149.122,1529.25
842,392,880240,3439.75,1444926.768,41790.227,4946.66,11816.786,550553.312,35617.536,3439.75,929.568,2149.122,1529.25
156,842,270900,397381.033,397381.033,11.997,106204.937,351.574,172153.098,2.641,119.85,31548.493,1141.232,588016.488
156,842,271000,172153.098,397381.033,11.997,106204.937,351.574,172153.098,2.641,119.85,31548.493,1141.232,588016.488
156,842,300490,1141.232,397381.033,11.997,106204.937,351.574,172153.098,2.641,119.85,31548.493,1141.232,588016.488
156,842,847192,588016.488,397381.033,11.997,106204.937,351.574,172153.098,2.641,119.85,31548.493,1141.232,588016.488
156,842,847193,31548.493,397381.033,11.997,106204.937,351.574,172153.098,2.641,119.85,31548.493,1141.232,588016.488
156,842,847330,106204.937,397381.033,11.997,106204.937,351.574,172153.098,2.641,119.85,31548.493,1141.232,588016.488
156,842,854211,351.574,397381.033,11.997,106204.937,351.574,172153.098,2.641,119.85,31548.493,1141.232,588016.488
156,842,870323,11.997,397381.033,11.997,106204.937,351.574,172153.098,2.641,119.85,31548.493,1141.232,588016.488
156,842,870324,2.641,397381.033,11.997,106204.937,351.574,172153.098,2.641,119.85,31548.493,1141.232,588016.488
156,842,880240,119.85,397381.033,11.997,106204.937,351.574,172153.098,2.641,119.85,31548.493,1141.232,588016.488
276,842,270900,28.851,28.851,468463.616,3631.312,167.936,2214708.431,228642.368,3146,510.125,27751.706,1549.687
276,842,271000,2214708.431,28.851,468463.616,3631.312,167.936,2214708.431,228642.368,3146,510.125,27751.706,1549.687
276,842,300490,27751.706,28.851,468463.616,3631.312,167.936,2214708.431,228642.368,3146,510.125,27751.706,1549.687
276,842,847192,1549.687,28.851,468463.616,3631.312,167.936,2214708.431,228642.368,3146,510.125,27751.706,1549.687
276,842,847193,510.125,28.851,468463.616,3631.312,167.936,2214708.431,228642.368,3146,510.125,27751.706,1549.687
276,842,847330,3631.312,28.851,468463.616,3631.312,167.936,2214708.431,228642.368,3146,510.125,27751.706,1549.687
276,842,854211,167.936,28.851,468463.616,3631.312,167.936,2214708.431,228642.368,3146,510.125,27751.706,1549.687
276,842,870323,468463.616,28.851,468463.616,3631.312,167.936,2214708.431,228642.368,3146,510.125,27751.706,1549.687
276,842,870324,228642.368,28.851,468463.616,3631.312,167.936,2214708.431,228642.368,3146,510.125,27751.706,1549.687
276,842,880240,3146,28.851,468463.616,3631.312,167.936,2214708.431,228642.368,3146,510.125,27751.706,1549.687
156,344,271000,762876.395,0,325.653,110897.625,2588.75,762876.395,73.694,0,19824.029,9405.69,113591.207
156,344,300490,9405.69,0,325.653,110897.625,2588.75,762876.395,73.694,0,19824.029,9405.69,113591.207
156,344,847192,113591.207,0,325.653,110897.625,2588.75,762876.395,73.694,0,19824.029,9405.69,113591.207
156,344,847193,19824.029,0,325.653,110897.625,2588.75,762876.395,73.694,0,19824.029,9405.69,113591.207
156,344,847330,110897.625,0,325.653,110897.625,2588.75,762876.395,73.694,0,19824.029,9405.69,113591.207
156,344,854211,2588.75,0,325.653,110897.625,2588.75,762876.395,73.694,0,19824.029,9405.69,113591.207
156,344,870323,325.653,0,325.653,110897.625,2588.75,762876.395,73.694,0,19824.029,9405.69,113591.207
156,344,870324,73.694,0,325.653,110897.625,2588.75,762876.395,73.694,0,19824.029,9405.69,113591.207
276,826,271000,1552114.576,0,419163.76,4229.638,516.381,1552114.576,25604.031,532.312,1371.795,118918.974,13644.211
276,826,300490,118918.974,0,419163.76,4229.638,516.381,1552114.576,25604.031,532.312,1371.795,118918.974,13644.211
276,826,847192,13644.211,0,419163.76,4229.638,516.381,1552114.576,25604.031,532.312,1371.795,118918.974,13644.211
276,826,847193,1371.795,0,419163.76,4229.638,516.381,1552114.576,25604.031,532.312,1371.795,118918.974,13644.211
276,826,847330,4229.638,0,419163.76,4229.638,516.381,1552114.576,25604.031,532.312,1371.795,118918.974,13644.211
276,826,854211,516.381,0,419163.76,4229.638,516.381,1552114.576,25604.031,532.312,1371.795,118918.974,13644.211
276,826,870323,419163.76,0,419163.76,4229.638,516.381,1552114.576,25604.031,532.312,1371.795,118918.974,13644.211
276,826,870324,25604.031,0,419163.76,4229.638,516.381,1552114.576,25604.031,532.312,1371.795,118918.974,13644.211
276,826,880240,532.312,0,419163.76,4229.638,516.381,1552114.576,25604.031,532.312,1371.795,118918.974,13644.211
528,276,271000,14565458.24,0,47080.4,13137.652,471.983,14565458.24,217.601,0,3198.312,2901.169,17472.2
528,276,300490,2901.169,0,47080.4,13137.652,471.983,14565458.24,217.601,0,3198.312,2901.169,17472.2
528,276,847192,17472.2,0,47080.4,13137.652,471.983,14565458.24,217.601,0,3198.312,2901.169,17472.2
528,276,847193,3198.312,0,47080.4,13137.652,471.983,14565458.24,217.601,0,3198.312,2901.169,17472.2
528,276,847330,13137.652,0,47080.4,13137.652,471.983,14565458.24,217.601,0,3198.312,2901.169,17472.2
528,276,854211,471.983,0,47080.4,13137.652,471.983,14565458.24,217.601,0,3198.312,2901.169,17472.2
528,276,870323,47080.4,0,47080.4,13137.652,471.983,14565458.24,217.601,0,3198.312,2901.169,17472.2
528,276,870324,217.601,0,47080.4,13137.652,471.983,14565458.24,217.601,0,3198.312,2901.169,17472.2
842,826,270900,1106,1106,23792.218,23654.222,1076.791,165573.54,4964.667,2077.4,2494.062,2464.933,4889.988
842,826,271000,165573.54,1106,23792.218,23654.222,1076.791,165573.54,4964.667,2077.4,2494.062,2464.933,4889.988
842,826,300490,2464.933,1106,23792.218,23654.222,1076.791,165573.54,4964.667,2077.4,2494.062,2464.933,4889.988
842,826,847192,4889.988,1106,23792.218,23654.222,1076.791,165573.54,4964.667,2077.4,2494.062,2464.933,4889.988
842,826,847193,2494.062,1106,23792.218,23654.222,1076.791,165573.54,4964.667,2077.4,2494.062,2464.933,4889.988
842,826,847330,23654.222,1106,23792.218,23654.222,1076.791,165573.54,4964.667,2077.4,2494.062,2464.933,4889.988
842,826,854211,1076.791,1106,23792.218,23654.222,1076.791,165573.54,4964.667,2077.4,2494.062,2464.933,4889.988
842,826,870323,23792.218,1106,23792.218,23654.222,1076.791,165573.54,4964.667,2077.4,2494.062,2464.933,4889.988
