iso_code,pop,cpi,emp
533,90866,4.044021312,6.537487138
24,16395477,324.9968716,3.87
8,3089027,0.050018136,16.58
20,65390,3.73406221,6.537487138
784,3134067,3.73406221,2.25
32,36870796,3.73406221,15
51,3069597,-0.790883769,11.05
28,76007,0.771779797,6.537487138
36,19153000,4.457435148,6.28
40,8011566,2.344862854,4.69
31,8048600,1.805003037,11.78
108,6378871,24.43202421,1.87
56,10251250,2.544517762,6.59
204,6865946,4.165404423,0.84
854,11607951,-0.304212168,2.57
50,127657862,2.208256209,3.27
100,8170172,10.31626213,16.22
48,664610,-0.704852953,0.95
44,298045,1.606329417,7.16
70,3751176,3.73406221,25.67
112,9979610,168.6202359,12
84,247310,3.73406221,10.87
60,61833,3.73406221,6.537487138
68,8418270,4.608229989,2.89
76,174790339,7.044141059,9.9
52,271511,2.435813035,9.35
96,333166,1.558152476,5.53
64,591014,4.01099373,1.64
140,3640421,3.203400916,4.47
124,30685730,2.719439957,6.83
152,15342350,3.843272957,10.49
156,1262645000,0.347811227,3.3
384,16454660,2.530775167,4.52
120,15513944,1.22719013,7.6
180,47105830,513.9068437,2.91
178,3127420,-0.881991517,20
170,39629965,9.222570802,20.52
174,542358,3.73406221,4.59
132,428178,-2.477456685,10.79
188,3962369,10.96154966,5.08
192,11126423,3.73406221,5.45
196,943288,4.141657647,4.97
203,10255063,3.775388292,8.76
276,82211508,1.440268187,7.92
262,717577,3.73406221,11.66
212,69650,0.856946805,6.537487138
208,5339616,2.903282032,4.48
214,8471317,7.724135662,6.43
12,31042238,0.339163189,29.77
218,12681123,96.09411369,4.8
818,68831561,2.683805353,8.98
724,40567864,3.433516755,13.79
233,1396985,4.018489525,13.36
231,66224809,0.662458109,3.49
246,5176209,3.042100807,11.13
242,811011,1.0921646,3.96
583,107405,2.158518106,6.537487138
266,1228359,0.504920026,17.39
826,58892514,1.182956242,5.56
268,4077131,4.063962014,10.82
288,19278850,25.19321937,10.36
324,8240735,3.73406221,4.53
270,1317708,0.844969567,9.53
624,1201305,8.636320949,3.16
226,606180,4.802288869,8.54
300,10805808,3.15118063,11.25
308,102837,2.181818182,6.537487138
304,56200,3.73406221,6.537487138
320,11589761,5.977577347,2.8
328,746718,6.14854333,11.84
344,6665000,-3.685503686,4.92
340,6574510,11.04803493,3.92
191,4468302,4.611315547,16.06
332,8463802,9.333221976,8.22
348,10210971,9.803610169,6.56
360,211513822,3.68861916,6.08
372,3805174,5.5907173,4.32
364,65623397,14.47675132,11.48
368,23497589,4.978962132,9.04
352,281205,5.136471232,1.94
376,6289000,1.053575432,11.1
388,2654698,8.171083561,15.54
400,5122495,0.666880926,13.7
392,126843000,-0.676578684,4.7
398,14883626,13.18089059,12.75
404,31964557,9.980025154,2.93
417,4898400,18.70073428,7.54
116,12155241,-0.791992529,1.07
296,84405,3.73406221,6.537487138
659,44083,2.148855327,6.537487138
410,47008111,2.259184779,4.4
414,2045123,1.812946139,0.8
418,5323701,25.08464143,1.95
422,3842774,3.73406221,8.31
