i,j,f0
2,3,0.00 
1,6,0.00 
1,3,26573.00
1,4,0.00 
3,2,246487.00
3,1,0.00 
3,6,0.00 
3,4,395226.00
4,2,0.00 
4,3,0.00 
5,6,893.00 
6,1,0.00 
6,3,0.00 
6,4,103956.00
