i,j,f0
2,3,0
1,6,0
1,3,"27,499.00"
1,4,0
3,2,"109,933.00"
3,1,0
3,6,0
3,4,"152,121.00"
4,2,0
4,3,0
5,6,"8,476.00"
6,1,0
6,3,0
6,4,"97,087.00"
