iso_code,pop,cpi,emp
533,87280,1.869488536,6.86
24,15359600,107.2848215,3.86
8,3128530,20.64285887,16.55
20,64140,5.493920278,6.86
784,2813214,5.493920278,2.07
32,36063451,5.493920278,12.65
51,3108691,8.672486324,9.4
28,73219,5.493920278,6.86
36,18711000,0.86013463,7.68
40,7976789,0.922467197,5.52
31,7913000,-0.772697886,10
108,6185564,12.50041077,1.87
204,6470275,5.753314584,1
854,10968722,5.084333441,2.44
50,122682818,8.402237956,2.87
100,8256786,18.67220444,12.2
48,613697,-0.366533865,0.92
44,290600,1.336613366,7.65
70,3734338,5.493920278,23.78
112,10069000,72.86971705,14
84,230248,5.493920278,14.31
60,60943,5.493920278,6.86
68,8096761,7.673228957,2.88
76,169785253,3.195076293,9.42
52,269334,-1.268886607,12.4
96,319135,-0.44137931,5.32
64,564378,10.57702059,1.4
140,3475485,-1.885200962,4.46
124,30155173,0.995942457,8.28
152,14977736,5.110249545,7.31
156,1241935000,-0.773186012,3.2
384,15589407,4.611447595,4.1
120,14723772,3.170751854,7.81
180,44849968,29.14880692,2.9
178,2951651,5.493920278,19.97
170,38364307,18.68125654,15
174,515382,5.493920278,4.58
132,412513,4.3942351,10.77
188,3803893,11.65929977,5.33
192,11038706,5.493920278,6.23
196,908710,2.227707327,5.07
203,10294373,10.69836553,5.9
276,82047195,0.911185301,9.79
262,680465,5.493920278,11.64
212,70183,0.999147458,6.86
208,5304219,1.84565122,5.04
214,8214427,4.831665586,6.42
12,30192750,4.950161638,26.83
218,12198449,36.09843316,4.79
818,66200259,3.872575464,8.03
724,40223509,1.834329229,18.67
233,1386156,8.208333333,9.51
231,62507724,0.894801694,3.56
246,5153498,1.399473786,13.21
242,800148,5.711681604,3.95
583,108206,5.493920278,6.86
266,1170061,1.448738543,17.49
826,58487141,1.820561637,6.2
268,4243607,3.566807813,14.53
288,18357159,14.62416667,8.2
324,7860772,5.493920278,4.52
270,1238124,1.114188412,9.52
624,1154372,8.01375519,3.15
226,558496,7.935710698,8.53
300,10720509,4.766221864,10.84
308,102023,1.377693304,6.86
304,56100,5.493920278,6.86
320,11046215,6.613460705,2.79
328,753778,4.586466165,11.89
344,6543700,2.912621359,4.58
340,6220405,13.66810775,4.02
191,4532135,6.396686608,11.39
332,8174680,5.26903547,7.17
348,10266570,14.15378965,8.93
360,205724597,58.45104447,5.78
372,3712696,2.415517872,7.7
364,63971836,17.86613421,10.24
368,22114330,14.76877356,9.03
352,274047,1.65924171,3.07
376,5971000,5.496828753,10.75
388,2608874,8.63189613,15.5
400,4943975,3.091666667,13.69
392,126400000,0.661974191,4.1
398,15071640,7.146326655,13.13
404,30250488,6.722436508,2.92
417,4769000,10.45738258,8.9
116,11600510,14.80650354,0.95
296,81558,5.493920278,6.86
659,43225,3.44635866,6.86
410,46286503,7.513340122,6.96
414,1831121,0.129658288,0.7
418,5144601,90.98073456,2.19
422,3693514,5.493920278,8.51
434,5196774,3.709273183,19.17
662,153023,3.201943417,21.6
144,18564595,9.364243007,9.17
440,3549331,5.067553858,13.71
428,2410019,4.644214227,14.46
446,409620,0.172630385,4.6
504,28110447,2.753113308,13.88
498,2934339,7.695765175,10
450,14808791,6.208016087,5.79
462,268445,-1.404252338,1.43
484,96056313,15.92839501,3.73
584,50356,5.493920278,6.86
807,2012052,0.544199653,34.5
466,10360564,4.03658946,3.92
470,385287,2.385251354,6.19
496,2355667,9.357042177,6.17
508,16813946,5.493920278,2.75
478,2496217,8.031666655,9.96
480,1160421,6.810793238,9.36
454,10552345,29.74865128,6.02
458,22114647,5.270342003,3.2
540,205279,5.493920278,18.1
562,10545720,4.548015777,1.47
566,116319763,9.996378124,3.83
558,4910642,5.493920278,7.56
528,15707209,1.959136323,4.39
524,23057875,11.24446778,1.83
554,3815000,1.265244099,7.72
512,2251859,5.493920278,3.39
586,134843233,6.228004154,0.63
591,2912318,0.559081293,3.78
604,25658070,7.247821752,5.76
608,74672009,9.234934323,3.7
598,5581767,13.57419177,2.91
616,38663481,11.59785543,9.94
620,10160196,2.572752259,4.65
600,5107840,11.55326844,9.34
258,231562,5.493920278,11.41
634,551566,2.951388889,0.52
642,22507344,59.09658275,5.63
643,147670784,27.68567981,13.26
646,6962800,6.210067095,0.66
682,19783301,-0.371269735,4.73
686,9347777,1.156780704,5.63
702,3927213,-0.267502293,3.41
90,390702,12.39950381,2.12
694,4381484,5.493920278,3.43
222,5797764,2.547059776,7.1
740,459838,18.9753692,10.63
703,5390516,6.665651232,12.19
705,1981629,7.891166829,7.39
752,8850974,-0.267132668,8.94
690,78846,2.57985258,6.86
760,15599588,-0.797165633,7.47
148,7770053,4.258851102,0.94
768,4632451,0.975338381,4.45
764,61585103,7.99472875,3.4
762,6027395,5.493920278,16.5
795,4413477,5.493920278,12.2
776,97036,3.274445543,2.91
780,1261699,5.612709077,3.51
788,9509862,3.125365797,15.54
792,61329665,84.64134348,6.89
798,9332,5.493920278,6.86
834,31924201,12.79975405,3.22
800,22290787,0.068804172,2.27
804,50144500,10.57716115,11.32
858,3291053,10.81107031,9.36
842,275854000,1.552279099,4.51
860,24051000,5.493920278,13.3
670,107807,2.142406473,20.81
862,23288567,5.493920278,11.15
704,78115712,7.266198044,2.29
548,177987,3.282159873,4.7
882,172839,2.218834688,4.01
887,16450306,5.976508521,10.75
894,9866474,24.45845635,12
716,11747079,5.493920278,6.44
