iso_code,pop,cpi,emp
533,83211,3.225287972,6.87
24,14400722,4145.105982,3.86
8,3168033,12.72547781,16.57
20,64363,7.191646604,6.87
784,2539121,7.191646604,1.89
32,35246376,7.191646604,17.11
51,3168213,18.68118564,9.3
28,70176,7.191646604,6.87
36,18311000,2.615384615,8.51
40,7959017,1.860971158,5.28
31,7763000,19.79480281,8.1
108,6060110,26.43678161,1.87
204,6094272,4.914239726,1.18
854,10372734,6.097804391,2.51
50,117649927,2.37712903,2.51
100,8362826,121.6075424,13.72
48,578661,-0.452227383,0.87
44,283980,1.379137412,11.46
70,3764419,7.191646604,22.01
112,10160000,52.71207675,24.4
84,213660,7.191646604,13.82
60,60129,7.191646604,6.87
68,7779268,12.42548662,2.89
76,164614682,15.7576656,7.25
52,267047,2.386152228,14.71
96,304620,1.99613651,5.09
64,541471,8.789659224,1.4
140,3308235,3.724941103,4.47
124,29610218,1.570531125,9.62
152,14587367,7.359117818,7.41
156,1217550000,8.313160289,3.1
384,14665125,2.480806692,4.1
120,13970812,3.924063727,8.06
180,42757239,492.4418502,2.91
178,2785815,10.03112033,19.99
170,37076387,20.79708679,11.81
174,488625,7.191646604,4.59
132,395533,5.963619618,10.78
188,3632361,17.51145248,6.16
192,10939285,7.191646604,7.61
196,873426,2.978924865,3.89
203,10315241,8.758774729,3.89
276,81914831,1.449726473,8.83
262,643649,7.191646604,11.66
212,70933,1.677164505,6.87
208,5263074,2.126298023,6.84
214,7952766,5.39929385,6.43
12,29266415,18.67907586,28.56
218,11703169,24.37308869,4.8
818,63601632,7.187103697,9
724,39889852,3.558840831,22.14
233,1415594,23.05034335,9.92
231,58883531,-8.484248689,3.33
246,5124573,0.629194238,15.57
242,784389,3.050161812,3.96
583,108311,7.191646604,6.87
266,1112944,0.689693377,17.64
826,58166950,2.851782364,8.19
268,4491699,39.3575,11.5
288,17462504,46.56101968,6.97
324,7463782,7.191646604,4.53
270,1164091,1.099488708,9.53
624,1110835,50.73405496,3.16
226,515844,4.540727715,8.54
300,10608800,8.194548902,9.66
308,101003,2.032351721,6.87
304,55900,7.191646604,6.87
320,10536942,11.05691653,2.79
328,760801,7.094711973,11.96
344,6435500,6.275579809,2.83
340,5874814,23.83783531,4.37
191,4557097,4.3,9.68
332,7887312,20.58359621,7.18
348,10311238,23.46903019,10.02
360,199901231,7.973280856,4.86
372,3637510,1.753732139,11.72
364,62294919,28.93734402,9.1
368,20783073,-16.11732575,9.04
352,268916,2.260418983,3.6
376,5692000,11.39622642,8.46
388,2558631,26.40665661,16.01
400,4732848,6.501218027,13.7
392,125757000,0.136600359,3.4
398,15578227,39.18254237,12.96
404,28589456,8.864087416,2.93
417,4628400,31.94733772,7.3
116,10982919,7.150861409,0.84
296,78904,7.191646604,6.87
659,42472,2.086573852,6.87
410,45524681,4.924809687,2.05
414,1626858,3.553985697,0.7
418,4951189,13.0244157,2.46
422,3610663,7.191646604,8.63
434,5036173,4.028077754,19.19
662,148837,0.92484261,16.33
144,18367290,15.93583104,11.35
440,3601613,24.62519539,16.4
428,2457222,17.61046984,20.7
446,393376,4.822486768,4.2
504,27383472,2.986809228,13.89
498,2946401,23.5056773,7.9
450,13902697,19.75635454,5.8
462,259178,6.241245915,0.98
484,93147045,34.37838322,5.47
584,50523,7.191646604,6.87
807,1989441,2.466600086,36.02
466,9837575,6.805459968,3.3
470,379905,2.054,6.03
496,2316571,46.88995215,6.18
508,15960445,7.191646604,2.71
478,2372900,4.681306239,9.98
480,1133996,6.550973361,9.52
454,10022783,37.60204502,6.03
458,21017619,3.488559459,2.52
540,197564,7.191646604,18.64
562,9826600,5.288857513,1.48
566,110668784,29.26829268,3.83
558,4741571,7.191646604,7.57
528,15530498,2.113787871,6.42
524,22090352,9.220466624,1.84
554,3732000,2.285713054,6.29
512,2236652,7.191646604,3.26
586,127349293,10.37380859,0.63
591,2796291,1.255716611,3.79
604,24753825,11.53794241,5.77
608,71401743,7.476103778,3.71
598,5314258,11.62417829,2.92
616,38624370,19.79496692,12.68
620,10063945,3.068977325,7.3
600,4887638,9.79968339,9.36
258,222323,7.191646604,11.21
634,522531,4.904534606,0.48
642,22619004,38.82930134,6.74
643,148160129,47.7520122,9.67
646,6013112,7.411371735,0.56
682,19033843,1.222069885,5.48
686,8912872,2.754306635,5.63
702,3670704,1.383180525,3.57
90,369517,11.77435639,2.12
694,4312660,7.191646604,3.44
222,5689943,9.788920402,7.68
740,448207,-0.701887251,10.88
703,5373361,5.775827862,11.34
705,1988628,9.864450615,6.91
752,8840998,0.533131979,9.55
690,76417,-1.100244499,6.87
760,14754148,8.249890099,7.29
148,7250974,11.33087891,0.84
768,4348808,4.6875,4.46
764,60130190,5.805105547,1.07
762,5851354,7.191646604,13.4
795,4287337,7.191646604,10.3
776,96267,2.99528024,2.2
780,1257547,3.404574428,3.4
788,9267335,3.725144727,15.96
792,59423278,80.41215114,6.63
798,9317,7.191646604,6.87
834,30444523,20.97725964,3.38
800,21032817,7.191646604,1.77
804,51057800,80.32550146,7.65
858,3247383,28.3420486,9.17
842,269394000,2.9312042,5.45
860,23225000,7.191646604,10.7
670,107983,4.407901138,20.62
862,22385650,7.191646604,11.77
704,76068739,5.675,1.93
548,171721,0.906344411,4.71
882,171165,5.37461972,3.43
887,15469274,30.73373327,9.51
894,9339740,43.073098,15.3
716,11541215,7.191646604,6.24
