i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
124,842,270900,56298507.29,56298507.29,605141.071,1383.929,12346992.64,0,2228994.888,906246.562,7444.829,609.987,87710.335
124,842,271000,12346992.64,56298507.29,605141.071,1383.929,12346992.64,0,2228994.888,906246.562,7444.829,609.987,87710.335
124,842,847192,7444.829,56298507.29,605141.071,1383.929,12346992.64,0,2228994.888,906246.562,7444.829,609.987,87710.335
124,842,847193,609.987,56298507.29,605141.071,1383.929,12346992.64,0,2228994.888,906246.562,7444.829,609.987,87710.335
124,842,847330,0,56298507.29,605141.071,1383.929,12346992.64,0,2228994.888,906246.562,7444.829,609.987,87710.335
124,842,854211,1383.929,56298507.29,605141.071,1383.929,12346992.64,0,2228994.888,906246.562,7444.829,609.987,87710.335
124,842,870322,87710.335,56298507.29,605141.071,1383.929,12346992.64,0,2228994.888,906246.562,7444.829,609.987,87710.335
124,842,870323,605141.071,56298507.29,605141.071,1383.929,12346992.64,0,2228994.888,906246.562,7444.829,609.987,87710.335
124,842,870324,2228994.888,56298507.29,605141.071,1383.929,12346992.64,0,2228994.888,906246.562,7444.829,609.987,87710.335
124,842,870899,906246.562,56298507.29,605141.071,1383.929,12346992.64,0,2228994.888,906246.562,7444.829,609.987,87710.335
842,124,270900,916174.744,916174.744,385879.319,3192.806,2008724.398,0,419140.761,240553.98,10522.199,2993.906,3007.71
842,124,271000,2008724.398,916174.744,385879.319,3192.806,2008724.398,0,419140.761,240553.98,10522.199,2993.906,3007.71
842,124,847192,10522.199,916174.744,385879.319,3192.806,2008724.398,0,419140.761,240553.98,10522.199,2993.906,3007.71
842,124,847193,2993.906,916174.744,385879.319,3192.806,2008724.398,0,419140.761,240553.98,10522.199,2993.906,3007.71
842,124,847330,0,916174.744,385879.319,3192.806,2008724.398,0,419140.761,240553.98,10522.199,2993.906,3007.71
842,124,854211,3192.806,916174.744,385879.319,3192.806,2008724.398,0,419140.761,240553.98,10522.199,2993.906,3007.71
842,124,870322,3007.71,916174.744,385879.319,3192.806,2008724.398,0,419140.761,240553.98,10522.199,2993.906,3007.71
842,124,870323,385879.319,916174.744,385879.319,3192.806,2008724.398,0,419140.761,240553.98,10522.199,2993.906,3007.71
842,124,870324,419140.761,916174.744,385879.319,3192.806,2008724.398,0,419140.761,240553.98,10522.199,2993.906,3007.71
842,124,870899,240553.98,916174.744,385879.319,3192.806,2008724.398,0,419140.761,240553.98,10522.199,2993.906,3007.71
392,842,270900,38.289,38.289,913520.895,11644.807,21797.016,47252.562,553384.624,180132.043,37981.686,24100.263,199332.893
