iso_code,pop,cpi,emp
533,85450,2.999948098,6.86
24,14871572,219.1767212,3.86
8,3148281,33.18027438,16.55
20,64318,5.608028434,6.86
784,2671361,5.608028434,1.98
32,35657438,5.608028434,14.82
51,3133081,13.96076412,10.8
28,71707,5.608028434,6.86
36,18517000,0.224887556,8.36
40,7968041,1.305978572,5.15
31,7838250,3.674348097,9.1
108,6122130,31.11158983,1.87
204,6281644,3.466295906,1.08
854,10665552,2.318690622,2.47
50,120160571,5.305601057,2.69
100,8312068,1058.373559,13.7
48,594927,2.43155134,0.9
44,287363,0.544150383,9.76
70,3736070,5.608028434,22.88
112,10117000,63.93736634,17.1
84,221575,5.608028434,12.68
60,60497,5.608028434,6.86
68,7937453,4.70844436,2.88
76,167209046,6.926712516,8.16
52,268183,7.71053879,14.61
96,311962,1.711560045,5.2
64,551713,6.513285807,1.4
140,3392432,1.611313478,4.46
124,29905948,1.621216381,9.1
152,14786227,6.133864644,7.14
156,1230075000,2.786465055,3.2
384,15130674,4.020833333,4.1
120,14344444,4.786238819,7.93
180,43827191,198.5167074,2.9
178,2867283,5.608028434,19.97
170,37723803,18.46256908,12.14
174,501955,5.608028434,4.58
132,404248,8.556062581,10.77
188,3718952,13.24804408,5.68
192,10989730,5.608028434,7.1
196,891190,3.605344444,4.46
203,10304131,8.596156667,4.27
276,82034771,1.939369425,9.86
262,660858,5.608028434,11.64
212,70592,2.436297155,6.86
208,5284991,2.182166779,5.4
214,8084407,8.296567548,6.42
12,29742980,5.733522754,25.43
218,11951457,30.64298008,4.79
818,64892269,4.625605788,8.37
724,40057389,1.971078904,20.7
233,1399535,10.58187893,10.37
231,60697443,2.395209581,3.44
246,5139835,1.192558834,14.97
242,792736,3.368140064,3.95
583,108473,5.608028434,6.86
266,1141332,3.973450075,17.56
826,58316954,2.201143135,7.07
268,4349913,7.087617629,11.5
288,17908977,27.88520864,7.57
324,7662071,5.608028434,4.52
270,1200522,2.7812279,9.52
624,1132505,49.10092358,3.15
226,536459,3.016505407,8.53
300,10661259,5.536006784,9.58
308,101567,1.24452783,6.86
304,56000,5.608028434,6.86
320,10788362,9.232902949,2.79
328,757975,3.555670906,11.92
344,6489300,5.776636714,2.22
340,6045704,20.19986676,3.32
191,4534920,4.170661553,9.71
332,8030721,20.55900734,7.17
348,10290486,18.30507441,8.99
360,202826444,6.226141634,4.68
372,3674171,1.525605217,10.2
364,63136309,17.34922575,9.66
368,21439579,23.06319968,9.03
352,271128,1.815430803,3.72
376,5836000,8.956639566,9.75
388,2583914,9.657552613,16.35
400,4848536,3.037884203,13.69
392,126057000,1.747804587,3.4
398,15334405,17.40804106,13.01
404,29415660,11.36184505,2.92
417,4696400,23.43542785,7.5
116,11298594,7.960213978,0.89
296,80188,5.608028434,6.86
659,42857,8.905183391,6.86
410,45953580,4.439063761,2.61
414,1710257,0.682191435,0.7
418,5050308,27.50886245,2.32
422,3658425,5.608028434,8.62
434,5118008,3.550295858,19.17
662,150920,-0.005520287,20.47
144,18470897,9.573696264,10.6
440,3575137,8.881048485,14.13
428,2432851,8.447383421,14.9
446,401353,3.490937151,3.2
504,27754573,1.038198951,13.88
498,2935524,11.77283245,7.9
450,14347860,4.486382617,5.79
462,263836,7.572834671,1.2
484,94611008,20.62562873,4.24
584,50453,5.608028434,6.86
807,1999588,1.294364872,36
466,10094363,-0.362999796,3.3
470,382791,3.11207792,6.11
496,2335744,36.55611489,6.17
508,16397175,5.608028434,2.7
478,2433567,4.625346953,9.96
480,1148284,6.83334335,9.44
454,10264906,9.13735243,6.02
458,21562790,2.662514597,2.45
540,201418,5.608028434,18.38
562,10178196,2.933452534,1.47
566,113457661,8.529874214,3.83
558,4827658,5.608028434,7.56
528,15610650,2.109245627,5.51
524,22584772,4.009988605,1.83
554,3781300,1.187148331,6.86
512,2249759,5.608028434,3.33
586,131057432,11.37549289,0.63
591,2853907,1.324351221,3.78
604,25210957,8.56218949,5.76
608,73030879,5.590259397,3.7
598,5446633,3.964378052,2.91
616,38649660,14.91315861,10.96
620,10108977,2.336862983,6.57
600,4998096,6.949566085,9.34
258,226854,5.608028434,11.31
634,535320,4.834489819,0.5
642,22553978,154.7634804,5.51
643,147915361,14.76132927,11.81
646,6419898,12.01542252,0.61
682,19407138,0.057154704,5.1
686,9130876,1.753164781,5.63
702,3796038,2.003586185,2.5
90,379998,8.084001355,2.12
694,4335295,5.608028434,3.43
222,5746288,4.490136279,7.98
740,454165,7.145111609,10.56
703,5383291,6.141989996,11.89
705,1985956,8.359679907,6.65
752,8846062,0.658410256,10.36
690,77319,0.618046972,6.86
760,15175308,1.886111362,7.38
148,7503494,5.572257111,0.89
768,4485945,8.250825083,4.45
764,60846588,5.625797471,0.87
762,5938404,5.608028434,13.9
795,4355125,5.608028434,11
776,96621,2.124731324,2.54
780,1259838,3.626078758,3.46
788,9395119,3.652026207,15.94
792,60372571,85.66936165,6.84
798,9328,5.608028434,6.86
834,31192853,16.09065493,3.29
800,21655392,8.169021441,2.01
804,50594600,15.94059941,8.93
858,3270158,19.81880932,9.27
842,272657000,2.337689937,5
860,23667000,5.608028434,10.9
670,107895,0.44361603,20.71
862,22837743,5.608028434,11.16
704,77133212,3.209526063,2.87
548,174917,2.830702232,4.7
882,172065,6.861823553,3.71
887,15975676,2.176726674,10.12
894,9597610,24.41872157,13.59
716,11653254,5.608028434,6.93
