i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
842,484,870324,156643.312,788.375,242772.56,46301.776,7290116.32,31871.832,156643.312,1814.25,285994.816,23087.2,817.562
842,484,870899,285994.816,788.375,242772.56,46301.776,7290116.32,31871.832,156643.312,1814.25,285994.816,23087.2,817.562
842,484,880240,817.562,788.375,242772.56,46301.776,7290116.32,31871.832,156643.312,1814.25,285994.816,23087.2,817.562
842,392,270900,516751.95,516751.95,79529.89,7887.31,1238601.625,5516.253,56283.702,968.418,13125.242,3044.477,2408.875
842,392,271000,1238601.625,516751.95,79529.89,7887.31,1238601.625,5516.253,56283.702,968.418,13125.242,3044.477,2408.875
842,392,847192,3044.477,516751.95,79529.89,7887.31,1238601.625,5516.253,56283.702,968.418,13125.242,3044.477,2408.875
842,392,847193,968.418,516751.95,79529.89,7887.31,1238601.625,5516.253,56283.702,968.418,13125.242,3044.477,2408.875
842,392,847330,5516.253,516751.95,79529.89,7887.31,1238601.625,5516.253,56283.702,968.418,13125.242,3044.477,2408.875
842,392,854211,7887.31,516751.95,79529.89,7887.31,1238601.625,5516.253,56283.702,968.418,13125.242,3044.477,2408.875
842,392,870323,79529.89,516751.95,79529.89,7887.31,1238601.625,5516.253,56283.702,968.418,13125.242,3044.477,2408.875
842,392,870324,56283.702,516751.95,79529.89,7887.31,1238601.625,5516.253,56283.702,968.418,13125.242,3044.477,2408.875
842,392,870899,13125.242,516751.95,79529.89,7887.31,1238601.625,5516.253,56283.702,968.418,13125.242,3044.477,2408.875
842,392,880240,2408.875,516751.95,79529.89,7887.31,1238601.625,5516.253,56283.702,968.418,13125.242,3044.477,2408.875
156,344,271000,1595661.112,0,817.077,1716.867,1595661.112,46228.218,453.69,10468.622,2157.125,96569.203,0
156,344,847192,96569.203,0,817.077,1716.867,1595661.112,46228.218,453.69,10468.622,2157.125,96569.203,0
156,344,847193,10468.622,0,817.077,1716.867,1595661.112,46228.218,453.69,10468.622,2157.125,96569.203,0
156,344,847330,46228.218,0,817.077,1716.867,1595661.112,46228.218,453.69,10468.622,2157.125,96569.203,0
156,344,854211,1716.867,0,817.077,1716.867,1595661.112,46228.218,453.69,10468.622,2157.125,96569.203,0
156,344,870323,817.077,0,817.077,1716.867,1595661.112,46228.218,453.69,10468.622,2157.125,96569.203,0
156,344,870324,453.69,0,817.077,1716.867,1595661.112,46228.218,453.69,10468.622,2157.125,96569.203,0
156,344,870899,2157.125,0,817.077,1716.867,1595661.112,46228.218,453.69,10468.622,2157.125,96569.203,0
156,842,270900,2396066.407,2396066.407,16.933,287.768,67470.506,95055.312,1.884,12541.823,21716.065,331605.026,0
156,842,271000,67470.506,2396066.407,16.933,287.768,67470.506,95055.312,1.884,12541.823,21716.065,331605.026,0
156,842,847192,331605.026,2396066.407,16.933,287.768,67470.506,95055.312,1.884,12541.823,21716.065,331605.026,0
156,842,847193,12541.823,2396066.407,16.933,287.768,67470.506,95055.312,1.884,12541.823,21716.065,331605.026,0
156,842,847330,95055.312,2396066.407,16.933,287.768,67470.506,95055.312,1.884,12541.823,21716.065,331605.026,0
156,842,854211,287.768,2396066.407,16.933,287.768,67470.506,95055.312,1.884,12541.823,21716.065,331605.026,0
156,842,870323,16.933,2396066.407,16.933,287.768,67470.506,95055.312,1.884,12541.823,21716.065,331605.026,0
156,842,870324,1.884,2396066.407,16.933,287.768,67470.506,95055.312,1.884,12541.823,21716.065,331605.026,0
156,842,870899,21716.065,2396066.407,16.933,287.768,67470.506,95055.312,1.884,12541.823,21716.065,331605.026,0
