iso_code,pop,cpi,emp
533,92892,2.883604303,6.505985913
24,16945753,152.5610225,3.85
8,3060173,3.10758827,16.54
20,67344,4.066419648,6.505985913
784,3302722,4.066419648,2.41
32,37275644,4.066419648,17.32
51,3050686,3.145904647,10.91
28,77212,1.402796636,6.505985913
36,19413000,4.407135362,6.74
40,8042293,2.650000773,4.01
31,8111200,1.547195902,10.91
108,6525546,9.296187713,1.86
56,10286570,2.469258231,6.18
204,7076728,3.984295478,0.75
854,11944589,5.007432908,2.63
50,130088709,2.007173742,3.59
100,8009142,7.360939272,19.92
48,697550,-1.207571802,0.98
44,302618,2.044989775,6.87
70,3755514,4.066419648,26.59
112,9928549,61.13493316,11.23
84,255068,4.066419648,9.07
60,62504,4.066419648,6.505985913
68,8580244,1.589653779,2.88
76,177196051,6.840359025,9.61
52,272494,2.577834904,9.85
96,340037,0.595890411,5.64
64,603643,3.410404624,1.9
72,1674674,6.55903767,18.54
140,3722016,3.834860602,4.45
124,31020902,2.52512014,7.22
152,15516112,3.56910053,10.39
156,1271850000,0.719125609,3.8
384,16853027,4.36152914,4.71
120,15928910,4.419772459,7.46
180,48428534,359.9366143,2.9
178,3217930,0.055989922,19.96
170,40255956,7.969702931,15.04
174,555895,5.554593948,4.58
132,435701,3.349964723,10.76
188,4034074,11.25561571,5.92
192,11164676,4.066419648,4.08
196,960274,1.973041917,3.98
203,10216605,4.66267557,7.99
276,82349925,1.983856936,7.77
262,733019,1.74665225,11.63
212,69671,1.303894035,6.505985913
208,5358783,2.337870003,4.16
214,8598599,8.883068488,7.26
12,31451513,4.225988349,27.3
218,12914660,37.67802094,4.25
818,70152662,2.269757205,9.26
724,40850412,3.589834949,10.35
233,1388115,5.748279817,13.13
231,68159422,-8.237844534,3.28
246,5188008,2.578440801,10.29
242,813923,4.272670245,3.95
583,107170,0.502497351,6.505985913
266,1258008,2.137620527,17.29
826,59119673,1.532349603,4.7
268,4014373,4.646044421,11.16
288,19756929,32.9054089,9.26
324,8417082,4.066419648,4.52
270,1360070,4.492596092,9.51
624,1227105,3.348122655,3.14
226,631662,8.825389259,8.52
300,10862132,3.37396699,10.46
308,103242,3.140993052,6.505985913
304,56350,4.066419648,6.505985913
320,11871565,7.285873666,2.78
328,745206,2.627413142,11.79
344,6714300,-1.658163265,5.09
340,6751912,9.674155569,4
191,4299642,3.776702467,15.82
332,8608810,13.31672224,9.31
348,10187576,9.116809117,5.67
360,214427419,11.50011488,6.08
372,3866243,4.872904873,3.68
364,66449111,11.27424713,12.09
368,24208178,16.3740815,9.02
352,284968,6.405085504,1.87
376,6439000,1.15350488,11.81
388,2674706,6.801909308,14.93
400,5217328,1.772204374,14.7
392,127149000,-0.740055504,5
398,14858335,8.354137772,10.43
404,32848569,5.738598143,2.91
417,4945100,6.919679894,7.84
116,12405411,-0.6006483,1.12
296,85844,4.066419648,6.505985913
659,44602,2.303447483,6.505985913
410,47370164,4.066419648,4
414,2103273,1.3,0.8
418,5409584,7.811807948,1.82
422,3990999,4.066419648,8.18
430,2953928,4.066419648,2.31
434,5443249,-8.813937521,19.16
662,158184,5.30722081,18.34
144,18911727,14.1584558,7.9
426,2035738,-9.616153539,34.35
440,3470818,1.367120308,16.84
442,441525,2.663821106,1.81
428,2337170,2.487040036,13.82
446,437928,-1.9862186,6.4
504,29126323,0.619801875,12.46
498,2917252,9.764662858,7.29
450,16260933,7.916944845,5.35
462,286309,0.67257737,2.66
484,100298152,6.367738062,2.63
584,51411,4.066419648,6.505985913
807,2042844,5.198885257,30.52
466,11271603,5.187011919,6.1
470,393028,2.929492443,7.11
104,47225119,21.10130538,0.82
496,2419594,6.277360205,6.16
508,18221884,4.066419648,2.88
478,2702405,4.714896347,9.96
480,1196287,5.389344262,9.14
454,11432001,22.7,6.01
458,23709115,1.416784732,3.53
516,1823667,4.066419648,20.72
562,11751364,4.005514284,1.47
566,125394046,18.87364621,3.82
558,5145367,5.986041863,7.55
528,16046180,4.155841272,2.12
524,24347113,2.688303735,1.75
554,3880500,2.625816304,5.43
512,2294959,-0.816666667,3.55
586,145978408,3.148261446,0.63
591,3089641,0.307062436,3.78
604,26799289,1.977098785,5.76
608,79672869,5.345501956,3.7
585,19390,4.066419648,6.505985913
598,5974627,9.298173328,2.81
616,38248076,5.408335456,18.37
620,10362722,4.369903306,3.83
600,5428442,7.268060286,9.33
275,2997784,1.222784759,21.49
634,615013,1.471334348,0.6
642,22131970,34.47701235,6.56
643,145976482,21.47700721,8.98
646,8231150,3.342855067,0.82
682,21202646,-1.120944775,4.62
686,10036102,2.974500839,5.62
702,4138012,0.997197956,3.76
90,423949,6.925837321,2.11
694,4754069,4.066419648,3.43
222,5927001,3.750820575,6.96
674,27818,4.066419648,6.505985913
678,144760,9.222037076,15.73
740,476574,38.58628789,11.83
703,5378867,7.329620191,19.38
705,1992060,8.379665875,5.68
752,8895960,2.405958341,4.73
748,1013608,5.942109823,25
690,81202,5.969622042,6.505985913
760,16766555,3,11.63
796,21578,4.066419648,6.505985913
148,8678049,12.43128653,1.09
768,5062571,3.919591337,4.44
