i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
124,842,270900,63112403.51,63112403.51,692239.672,0,955.338,11931886.77,2538836.74,0,1032.925,4300.078,809991.625
124,842,271000,11931886.77,63112403.51,692239.672,0,955.338,11931886.77,2538836.74,0,1032.925,4300.078,809991.625
124,842,847192,4300.078,63112403.51,692239.672,0,955.338,11931886.77,2538836.74,0,1032.925,4300.078,809991.625
124,842,847193,1032.925,63112403.51,692239.672,0,955.338,11931886.77,2538836.74,0,1032.925,4300.078,809991.625
124,842,847330,0,63112403.51,692239.672,0,955.338,11931886.77,2538836.74,0,1032.925,4300.078,809991.625
124,842,854211,955.338,63112403.51,692239.672,0,955.338,11931886.77,2538836.74,0,1032.925,4300.078,809991.625
124,842,870323,692239.672,63112403.51,692239.672,0,955.338,11931886.77,2538836.74,0,1032.925,4300.078,809991.625
124,842,870324,2538836.74,63112403.51,692239.672,0,955.338,11931886.77,2538836.74,0,1032.925,4300.078,809991.625
124,842,870899,809991.625,63112403.51,692239.672,0,955.338,11931886.77,2538836.74,0,1032.925,4300.078,809991.625
842,124,270900,3735131.103,3735131.103,469214.22,0,2633.607,2538199.655,499327.155,529.473,2481.891,14414.805,0
842,124,271000,2538199.655,3735131.103,469214.22,0,2633.607,2538199.655,499327.155,529.473,2481.891,14414.805,0
842,124,847192,14414.805,3735131.103,469214.22,0,2633.607,2538199.655,499327.155,529.473,2481.891,14414.805,0
842,124,847193,2481.891,3735131.103,469214.22,0,2633.607,2538199.655,499327.155,529.473,2481.891,14414.805,0
842,124,847330,0,3735131.103,469214.22,0,2633.607,2538199.655,499327.155,529.473,2481.891,14414.805,0
842,124,854211,2633.607,3735131.103,469214.22,0,2633.607,2538199.655,499327.155,529.473,2481.891,14414.805,0
842,124,870323,469214.22,3735131.103,469214.22,0,2633.607,2538199.655,499327.155,529.473,2481.891,14414.805,0
842,124,870324,499327.155,3735131.103,469214.22,0,2633.607,2538199.655,499327.155,529.473,2481.891,14414.805,0
842,124,870899,0,3735131.103,469214.22,0,2633.607,2538199.655,499327.155,529.473,2481.891,14414.805,0
842,124,880240,529.473,3735131.103,469214.22,0,2633.607,2538199.655,499327.155,529.473,2481.891,14414.805,0
392,842,271000,317863.605,0,1387002.506,65005.246,11934.523,317863.605,551799.629,0,26664.226,40743.506,160483.687
392,842,847192,40743.506,0,1387002.506,65005.246,11934.523,317863.605,551799.629,0,26664.226,40743.506,160483.687
392,842,847193,26664.226,0,1387002.506,65005.246,11934.523,317863.605,551799.629,0,26664.226,40743.506,160483.687
392,842,847330,65005.246,0,1387002.506,65005.246,11934.523,317863.605,551799.629,0,26664.226,40743.506,160483.687
392,842,854211,11934.523,0,1387002.506,65005.246,11934.523,317863.605,551799.629,0,26664.226,40743.506,160483.687
392,842,870323,1387002.506,0,1387002.506,65005.246,11934.523,317863.605,551799.629,0,26664.226,40743.506,160483.687
392,842,870324,551799.629,0,1387002.506,65005.246,11934.523,317863.605,551799.629,0,26664.226,40743.506,160483.687
392,842,870899,160483.687,0,1387002.506,65005.246,11934.523,317863.605,551799.629,0,26664.226,40743.506,160483.687
484,842,270900,64837451.17,64837451.17,611195.712,50019.164,40456.032,2362930.054,285683.136,3347.75,2920.562,136297.376,103175.119
484,842,271000,2362930.054,64837451.17,611195.712,50019.164,40456.032,2362930.054,285683.136,3347.75,2920.562,136297.376,103175.119
484,842,847192,136297.376,64837451.17,611195.712,50019.164,40456.032,2362930.054,285683.136,3347.75,2920.562,136297.376,103175.119
484,842,847193,2920.562,64837451.17,611195.712,50019.164,40456.032,2362930.054,285683.136,3347.75,2920.562,136297.376,103175.119
484,842,847330,50019.164,64837451.17,611195.712,50019.164,40456.032,2362930.054,285683.136,3347.75,2920.562,136297.376,103175.119
484,842,854211,40456.032,64837451.17,611195.712,50019.164,40456.032,2362930.054,285683.136,3347.75,2920.562,136297.376,103175.119
484,842,870323,611195.712,64837451.17,611195.712,50019.164,40456.032,2362930.054,285683.136,3347.75,2920.562,136297.376,103175.119
484,842,870324,285683.136,64837451.17,611195.712,50019.164,40456.032,2362930.054,285683.136,3347.75,2920.562,136297.376,103175.119
484,842,870899,103175.119,64837451.17,611195.712,50019.164,40456.032,2362930.054,285683.136,3347.75,2920.562,136297.376,103175.119
484,842,880240,3347.75,64837451.17,611195.712,50019.164,40456.032,2362930.054,285683.136,3347.75,2920.562,136297.376,103175.119
842,484,270900,737.271,737.271,0,10494.382,105724.888,8844601.66,192795.744,2326.937,812.437,10765.546,196239.056
842,484,271000,8844601.66,737.271,0,10494.382,105724.888,8844601.66,192795.744,2326.937,812.437,10765.546,196239.056
842,484,847192,10765.546,737.271,0,10494.382,105724.888,8844601.66,192795.744,2326.937,812.437,10765.546,196239.056
842,484,847193,812.437,737.271,0,10494.382,105724.888,8844601.66,192795.744,2326.937,812.437,10765.546,196239.056
842,484,847330,10494.382,737.271,0,10494.382,105724.888,8844601.66,192795.744,2326.937,812.437,10765.546,196239.056
842,484,854211,105724.888,737.271,0,10494.382,105724.888,8844601.66,192795.744,2326.937,812.437,10765.546,196239.056
842,484,870323,0,737.271,0,10494.382,105724.888,8844601.66,192795.744,2326.937,812.437,10765.546,196239.056
842,484,870324,192795.744,737.271,0,10494.382,105724.888,8844601.66,192795.744,2326.937,812.437,10765.546,196239.056
842,484,870899,196239.056,737.271,0,10494.382,105724.888,8844601.66,192795.744,2326.937,812.437,10765.546,196239.056
842,484,880240,2326.937,737.271,0,10494.382,105724.888,8844601.66,192795.744,2326.937,812.437,10765.546,196239.056
842,392,270900,297304.933,297304.933,37415.371,5316.515,7233.652,732671.313,49819.215,3646.687,885.262,2605.853,12415.503
842,392,271000,732671.313,297304.933,37415.371,5316.515,7233.652,732671.313,49819.215,3646.687,885.262,2605.853,12415.503
842,392,847192,2605.853,297304.933,37415.371,5316.515,7233.652,732671.313,49819.215,3646.687,885.262,2605.853,12415.503
842,392,847193,885.262,297304.933,37415.371,5316.515,7233.652,732671.313,49819.215,3646.687,885.262,2605.853,12415.503
842,392,847330,5316.515,297304.933,37415.371,5316.515,7233.652,732671.313,49819.215,3646.687,885.262,2605.853,12415.503
842,392,854211,7233.652,297304.933,37415.371,5316.515,7233.652,732671.313,49819.215,3646.687,885.262,2605.853,12415.503
842,392,870323,37415.371,297304.933,37415.371,5316.515,7233.652,732671.313,49819.215,3646.687,885.262,2605.853,12415.503
842,392,870324,49819.215,297304.933,37415.371,5316.515,7233.652,732671.313,49819.215,3646.687,885.262,2605.853,12415.503
842,392,870899,12415.503,297304.933,37415.371,5316.515,7233.652,732671.313,49819.215,3646.687,885.262,2605.853,12415.503
842,392,880240,3646.687,297304.933,37415.371,5316.515,7233.652,732671.313,49819.215,3646.687,885.262,2605.853,12415.503
156,842,270900,2206732.759,2206732.759,19.043,137325.687,909.068,85830.419,1.884,0,21806.475,452421.065,31282.742
156,842,271000,85830.419,2206732.759,19.043,137325.687,909.068,85830.419,1.884,0,21806.475,452421.065,31282.742
156,842,847192,452421.065,2206732.759,19.043,137325.687,909.068,85830.419,1.884,0,21806.475,452421.065,31282.742
156,842,847193,21806.475,2206732.759,19.043,137325.687,909.068,85830.419,1.884,0,21806.475,452421.065,31282.742
156,842,847330,137325.687,2206732.759,19.043,137325.687,909.068,85830.419,1.884,0,21806.475,452421.065,31282.742
156,842,854211,909.068,2206732.759,19.043,137325.687,909.068,85830.419,1.884,0,21806.475,452421.065,31282.742
156,842,870323,19.043,2206732.759,19.043,137325.687,909.068,85830.419,1.884,0,21806.475,452421.065,31282.742
156,842,870324,1.884,2206732.759,19.043,137325.687,909.068,85830.419,1.884,0,21806.475,452421.065,31282.742
156,842,870899,31282.742,2206732.759,19.043,137325.687,909.068,85830.419,1.884,0,21806.475,452421.065,31282.742
276,842,271000,2320599.07,0,382036.992,2867,174,2320599.07,200231.008,1316,657,1486,37999
276,842,847192,1486,0,382036.992,2867,174,2320599.07,200231.008,1316,657,1486,37999
276,842,847193,657,0,382036.992,2867,174,2320599.07,200231.008,1316,657,1486,37999
276,842,847330,2867,0,382036.992,2867,174,2320599.07,200231.008,1316,657,1486,37999
276,842,854211,174,0,382036.992,2867,174,2320599.07,200231.008,1316,657,1486,37999
276,842,870323,382036.992,0,382036.992,2867,174,2320599.07,200231.008,1316,657,1486,37999
276,842,870324,200231.008,0,382036.992,2867,174,2320599.07,200231.008,1316,657,1486,37999
276,842,870899,37999,0,382036.992,2867,174,2320599.07,200231.008,1316,657,1486,37999
276,842,880240,1316,0,382036.992,2867,174,2320599.07,200231.008,1316,657,1486,37999
156,344,271000,786305.575,0,307.22,63295.035,1473.806,786305.575,88.868,0,15572.132,89696.284,1263.375
156,344,847192,89696.284,0,307.22,63295.035,1473.806,786305.575,88.868,0,15572.132,89696.284,1263.375
156,344,847193,15572.132,0,307.22,63295.035,1473.806,786305.575,88.868,0,15572.132,89696.284,1263.375
156,344,847330,63295.035,0,307.22,63295.035,1473.806,786305.575,88.868,0,15572.132,89696.284,1263.375
156,344,854211,1473.806,0,307.22,63295.035,1473.806,786305.575,88.868,0,15572.132,89696.284,1263.375
156,344,870323,307.22,0,307.22,63295.035,1473.806,786305.575,88.868,0,15572.132,89696.284,1263.375
156,344,870324,88.868,0,307.22,63295.035,1473.806,786305.575,88.868,0,15572.132,89696.284,1263.375
156,344,870899,1263.375,0,307.22,63295.035,1473.806,786305.575,88.868,0,15572.132,89696.284,1263.375
276,826,270900,70803.184,70803.184,335098.651,4730.473,485.071,865290.652,20148.604,518,1534.325,9221.145,82827.048
276,826,271000,865290.652,70803.184,335098.651,4730.473,485.071,865290.652,20148.604,518,1534.325,9221.145,82827.048
276,826,847192,9221.145,70803.184,335098.651,4730.473,485.071,865290.652,20148.604,518,1534.325,9221.145,82827.048
276,826,847193,1534.325,70803.184,335098.651,4730.473,485.071,865290.652,20148.604,518,1534.325,9221.145,82827.048
276,826,847330,4730.473,70803.184,335098.651,4730.473,485.071,865290.652,20148.604,518,1534.325,9221.145,82827.048
276,826,854211,485.071,70803.184,335098.651,4730.473,485.071,865290.652,20148.604,518,1534.325,9221.145,82827.048
276,826,870323,335098.651,70803.184,335098.651,4730.473,485.071,865290.652,20148.604,518,1534.325,9221.145,82827.048
276,826,870324,20148.604,70803.184,335098.651,4730.473,485.071,865290.652,20148.604,518,1534.325,9221.145,82827.048
276,826,870899,82827.048,70803.184,335098.651,4730.473,485.071,865290.652,20148.604,518,1534.325,9221.145,82827.048
276,826,880240,518,70803.184,335098.651,4730.473,485.071,865290.652,20148.604,518,1534.325,9221.145,82827.048
842,826,270900,10.937,10.937,18124.356,21119.092,912.666,48526.742,8385.511,2037.45,2759,5666.363,16812.57
842,826,271000,48526.742,10.937,18124.356,21119.092,912.666,48526.742,8385.511,2037.45,2759,5666.363,16812.57
842,826,847192,5666.363,10.937,18124.356,21119.092,912.666,48526.742,8385.511,2037.45,2759,5666.363,16812.57
842,826,847193,2759,10.937,18124.356,21119.092,912.666,48526.742,8385.511,2037.45,2759,5666.363,16812.57
842,826,847330,21119.092,10.937,18124.356,21119.092,912.666,48526.742,8385.511,2037.45,2759,5666.363,16812.57
842,826,854211,912.666,10.937,18124.356,21119.092,912.666,48526.742,8385.511,2037.45,2759,5666.363,16812.57
842,826,870323,18124.356,10.937,18124.356,21119.092,912.666,48526.742,8385.511,2037.45,2759,5666.363,16812.57
842,826,870324,8385.511,10.937,18124.356,21119.092,912.666,48526.742,8385.511,2037.45,2759,5666.363,16812.57
842,826,870899,16812.57,10.937,18124.356,21119.092,912.666,48526.742,8385.511,2037.45,2759,5666.363,16812.57
842,826,880240,2037.45,10.937,18124.356,21119.092,912.666,48526.742,8385.511,2037.45,2759,5666.363,16812.57
528,276,271000,16349867.37,0,49332,13111.934,281,16349867.37,118,0,2340,9253,23317.2
528,276,847192,9253,0,49332,13111.934,281,16349867.37,118,0,2340,9253,23317.2
528,276,847193,2340,0,49332,13111.934,281,16349867.37,118,0,2340,9253,23317.2
528,276,847330,13111.934,0,49332,13111.934,281,16349867.37,118,0,2340,9253,23317.2
528,276,854211,281,0,49332,13111.934,281,16349867.37,118,0,2340,9253,23317.2
528,276,870323,49332,0,49332,13111.934,281,16349867.37,118,0,2340,9253,23317.2
528,276,870324,118,0,49332,13111.934,281,16349867.37,118,0,2340,9253,23317.2
528,276,870899,23317.2,0,49332,13111.934,281,16349867.37,118,0,2340,9253,23317.2
276,528,270900,51831.268,51831.268,95974,5731.844,204,1404547.252,3016,0,1972,8774,49719.919
276,528,271000,1404547.252,51831.268,95974,5731.844,204,1404547.252,3016,0,1972,8774,49719.919
276,528,847192,8774,51831.268,95974,5731.844,204,1404547.252,3016,0,1972,8774,49719.919
276,528,847193,1972,51831.268,95974,5731.844,204,1404547.252,3016,0,1972,8774,49719.919
276,528,847330,5731.844,51831.268,95974,5731.844,204,1404547.252,3016,0,1972,8774,49719.919
276,528,854211,204,51831.268,95974,5731.844,204,1404547.252,3016,0,1972,8774,49719.919
276,528,870323,95974,51831.268,95974,5731.844,204,1404547.252,3016,0,1972,8774,49719.919
276,528,870324,3016,51831.268,95974,5731.844,204,1404547.252,3016,0,1972,8774,49719.919
276,528,870899,49719.919,51831.268,95974,5731.844,204,1404547.252,3016,0,1972,8774,49719.919
826,842,270900,13238753.41,13238753.41,977.5,4663.941,313.365,3511368.266,98074.184,479.4,1400.25,1748.25,29111.789
826,842,271000,3511368.266,13238753.41,977.5,4663.941,313.365,3511368.266,98074.184,479.4,1400.25,1748.25,29111.789
826,842,847192,1748.25,13238753.41,977.5,4663.941,313.365,3511368.266,98074.184,479.4,1400.25,1748.25,29111.789
826,842,847193,1400.25,13238753.41,977.5,4663.941,313.365,3511368.266,98074.184,479.4,1400.25,1748.25,29111.789
826,842,847330,4663.941,13238753.41,977.5,4663.941,313.365,3511368.266,98074.184,479.4,1400.25,1748.25,29111.789
