i,j,f0
2,3,0.00 
1,6,0.00 
1,3,"24,077.00 "
1,4,0.00 
3,2,"51,913.00 "
3,1,0.00 
3,6,0.00 
3,4,"43,449.00 "
4,2,0.00 
4,3,0.00 
5,6,"15,105.00 "
6,1,0.00 
6,3,0.00 
6,4,"73,627.00 "
